ID,Name,Price,Category
000001,Rustic Wooden Chips,519280,Sports
000002,Fantastic Soft Soap,899010,Beauty
000003,For repair Shoes,984600,Music
000004,Generic Cotton Shoes,496450,Kids
000005,Soft Chips,225870,Grocery
000006,Cotton Salad,700560,Electronics
000007,Handcrafted Cotton Shirt,159840,Music
000008,Soft Ball,664310,Automotive
000009,Granite Gloves,30480,Grocery
000010,Frozen Shoes,579880,Music
000011,Keyboard,986360,Grocery
000012,New Concrete Ball,716810,Shoes
000013,Plastic Keyboard,199550,Electronics
000014,Shirt,406490,Sports
000015,Shirt,953850,Computers
000016,Incredible Steel Tuna,504300,Jewelery
000017,Car,416590,Automotive
000018,Practical Car,485100,Kids
000019,Wooden Fish,801840,Clothing
000020,Ergonomic Soap,441810,Garden
000021,Wooden Shoes,285250,Tools
000022,Tasty Pizza,400090,Movies
000023,Fantastic Chair,157820,Jewelery
000024,Ergonomic Shoes,807060,Grocery
000025,Generic Steel Mouse,31720,Electronics
000026,Towels,550850,Garden
000027,Refined Mouse,743000,Toys
000028,Used Wooden Shoes,542520,Toys
000029,Intelligent Cotton Fish,490970,Music
000030,Plastic Shoes,357860,Books
000031,Small Bike,651100,Industrial
000032,Shirt,747570,Electronics
000033,Shirt,410750,Automotive
000034,Handmade Salad,608250,Baby
000035,Steel Hat,321810,Books
000036,Licensed Concrete Gloves,149730,Clothing
000037,New Keyboard,643750,Beauty
000038,Table,79740,Beauty
000039,Used Chips,727180,Movies
000040,Towels,534810,Beauty
000041,Fresh Computer,882470,Home
000042,Soft Fish,104730,Beauty
000043,Sausages,566960,Sports
000044,Gently Used Pants,663590,Games
000045,Licensed Frozen Towels,940310,Garden
000046,Bacon,814270,Tools
000047,Refined Steel Computer,839570,Garden
000048,Frozen Chips,641330,Music
000049,New Steel Tuna,542240,Tools
000050,Chair,818720,Garden
000051,For repair Bacon,718920,Health
000052,Fantastic Salad,448050,Games
000053,Used Granite Chips,650480,Automotive
000054,Rubber Sausages,84240,Baby
000055,Soft Chicken,979290,Books
000056,Plastic Soap,220730,Home
000057,Sausages,49090,Shoes
000058,Generic Towels,392590,Sports
000059,Chicken,896960,Garden
000060,Bacon,888760,Garden
000061,Generic Car,731290,Shoes
000062,Tasty Bike,67980,Grocery
000063,Fantastic Hat,230310,Grocery
000064,Incredible Shirt,320580,Beauty
000065,Granite Chips,319140,Games
000066,Licensed Mouse,277000,Tools
000067,Granite Gloves,646960,Kids
000068,Pants,818380,Industrial
000069,Frozen Chair,868050,Sports
000070,Rubber Fish,85890,Movies
000071,Gently Used Granite Table,524200,Garden
000072,Chips,277750,Music
000073,Hat,922120,Movies
000074,Metal Pants,430760,Clothing
000075,Metal Cheese,646840,Shoes
000076,Fresh Chicken,106440,Computers
000077,Rustic Steel Cheese,395520,Health
000078,Granite Shirt,369290,Sports
000079,Ergonomic Table,394900,Health
000080,Awesome Computer,626970,Books
000081,Chair,605410,Clothing
000082,Licensed Gloves,81850,Health
000083,Incredible Cotton Chicken,868940,Beauty
000084,Fresh Shirt,339110,Grocery
000085,Chips,58610,Baby
000086,Cotton Chair,736270,Music
000087,Intelligent Frozen Ball,157240,Books
000088,Steel Table,489870,Computers
000089,Used Towels,658100,Health
000090,Towels,441910,Home
000091,Rubber Chicken,70,Home
000092,Concrete Pants,841280,Jewelery
000093,Gently Used Soft Shoes,671590,Automotive
000094,Unbranded Soft Ball,85660,Home
000095,Gloves,704800,Outdoors
000096,Gently Used Soap,840550,Toys
000097,Tasty Gloves,934510,Kids
000098,Small Steel Fish,264620,Jewelery
000099,Soft Chips,797960,Books
000100,Rustic Computer,188620,Electronics
