[2023-09-15T15:41:13.774+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: eCommerce_ETL_dag.branching manual__2023-09-15T15:41:10.497401+00:00 [queued]>
[2023-09-15T15:41:13.785+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: eCommerce_ETL_dag.branching manual__2023-09-15T15:41:10.497401+00:00 [queued]>
[2023-09-15T15:41:13.786+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2023-09-15T15:41:13.806+0000] {taskinstance.py:1327} INFO - Executing <Task(BranchPythonOperator): branching> on 2023-09-15 15:41:10.497401+00:00
[2023-09-15T15:41:13.813+0000] {standard_task_runner.py:57} INFO - Started process 561 to run task
[2023-09-15T15:41:13.819+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'eCommerce_ETL_dag', 'branching', 'manual__2023-09-15T15:41:10.497401+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/workflow.py', '--cfg-path', '/tmp/tmp6o5oqoss']
[2023-09-15T15:41:13.824+0000] {standard_task_runner.py:85} INFO - Job 11: Subtask branching
[2023-09-15T15:41:13.891+0000] {task_command.py:410} INFO - Running <TaskInstance: eCommerce_ETL_dag.branching manual__2023-09-15T15:41:10.497401+00:00 [running]> on host 228226a2581e
[2023-09-15T15:41:13.989+0000] {taskinstance.py:1545} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='eCommerce_ETL_dag' AIRFLOW_CTX_TASK_ID='branching' AIRFLOW_CTX_EXECUTION_DATE='2023-09-15T15:41:10.497401+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-09-15T15:41:10.497401+00:00'
[2023-09-15T15:41:14.021+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'public', 'log', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.024+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'public', 'job', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.027+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'public', 'dag_code', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.029+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'public', 'dag_pickle', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.031+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_statistic', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.032+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_type', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.034+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'public', 'slot_pool', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.036+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_foreign_table', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.038+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_authid', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.040+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_shadow', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.042+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'public', 'connection', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
