ID,Action,Access_path,timestamp,preference,ItemID
8689,View,google,1976-04-15,5,6581
3848,View,instagram,1997-07-28,2,7483
5679,ItemSearch,facebook,2014-03-06,3,1415
2223,ItemSearch,instagram,1982-07-24,4,1747
5702,View,naver,2012-10-24,7,8076
4779,AddtoCart,etc,1978-10-28,8,440
1480,AddtoCart,instagram,1986-05-02,8,5755
6402,Buy,google,1989-10-18,3,6462
300,View,facebook,2009-12-03,9,3964
2711,View,facebook,2022-02-27,1,6590
864,View,direct,1972-12-16,7,8520
4006,View,direct,2022-10-15,1,1476
7215,ItemSearch,etc,1972-01-28,1,8173
1963,View,google,2013-07-02,2,1518
5651,View,etc,2008-05-24,8,563
7763,Buy,instagram,1971-02-15,2,4571
3252,View,direct,2023-04-28,8,5254
1339,View,facebook,1999-09-03,5,3190
7912,View,instagram,2022-06-22,9,7548
7275,View,instagram,1982-11-08,1,2271
1323,ItemSearch,google,2013-08-25,9,4085
5050,ItemSearch,etc,1997-07-24,1,8844
9570,Buy,google,1988-05-31,8,9408
5909,View,instagram,2014-12-27,9,5448
716,AddtoCart,google,1994-12-26,1,2196
7984,AddtoCart,instagram,2004-02-08,1,3117
390,AddtoCart,direct,1982-02-12,7,6562
5334,View,instagram,1985-03-26,3,2556
972,View,etc,2021-09-20,1,3829
2551,View,direct,1986-11-03,5,6818
8224,View,google,2013-12-10,5,5568
191,View,instagram,1981-01-02,5,8114
9465,View,naver,1995-07-27,7,9037
2176,AddtoCart,facebook,1991-12-16,9,1064
475,View,naver,1987-08-23,7,9774
7872,View,naver,1985-03-23,4,3728
2862,View,naver,2003-08-20,3,490
1947,View,facebook,1989-09-21,1,3676
5835,View,google,1974-11-06,8,7552
7989,ItemSearch,direct,2021-05-02,4,6131
8319,AddtoCart,instagram,2013-03-23,2,6464
2153,View,naver,1998-10-09,1,6976
2847,AddtoCart,naver,2020-02-04,9,2618
4279,View,google,2003-03-07,7,5953
25,View,direct,2003-08-12,5,6661
3992,Buy,etc,1985-07-12,5,5059
1305,View,instagram,1990-06-06,2,3813
5486,ItemSearch,google,1989-06-04,8,1379
8792,AddtoCart,naver,2010-01-22,3,6597
9383,View,etc,2001-08-27,3,3151
6602,View,naver,1999-01-12,3,1809
1191,ItemSearch,direct,2011-04-10,9,7683
7768,View,facebook,1976-06-15,1,3901
8453,Buy,google,2002-02-15,9,7577
3940,View,instagram,1987-10-22,9,1866
1333,View,naver,1995-01-26,1,7172
1471,View,google,2003-08-01,4,1328
5487,View,google,1972-08-09,4,7325
5778,View,facebook,2013-04-30,5,5158
8737,AddtoCart,instagram,2014-09-05,9,8682
4368,View,naver,2020-09-02,4,4129
3234,AddtoCart,etc,2010-10-29,4,954
7632,View,google,1989-12-08,8,284
7547,AddtoCart,facebook,2006-10-26,1,2290
6914,View,etc,2022-10-19,5,4510
8151,Buy,etc,1975-05-21,4,2754
4153,ItemSearch,naver,1996-11-14,1,881
5376,View,direct,2009-10-04,8,1992
7371,ItemSearch,google,2001-09-14,6,6873
9708,View,google,2012-02-23,4,402
3157,Buy,direct,1979-12-27,5,3926
4749,View,direct,2007-12-04,4,2983
6157,View,direct,1996-11-23,3,8296
2857,View,etc,1976-12-09,1,3374
4999,AddtoCart,direct,1972-09-24,6,4198
2731,Buy,etc,1995-03-07,2,4944
2957,AddtoCart,google,2014-02-18,6,4444
9973,Buy,instagram,2000-06-08,1,4585
2275,View,instagram,1982-03-06,8,377
1756,AddtoCart,facebook,1997-06-01,2,1636
7360,View,instagram,1977-07-12,2,9097
4312,View,direct,1993-05-16,1,6787
539,AddtoCart,direct,2001-11-30,7,1176
1506,View,direct,2006-05-12,4,7653
1171,AddtoCart,etc,2022-10-01,3,3768
5636,View,etc,2018-04-07,7,273
2348,View,etc,2008-03-19,9,599
5314,View,naver,1988-08-09,9,9925
2634,View,etc,1990-10-28,7,3552
4142,AddtoCart,etc,1979-12-07,5,9235
4910,View,instagram,1978-08-23,8,5177
1472,Buy,direct,2007-12-27,1,4881
6064,AddtoCart,google,2007-04-12,4,2134
3505,Buy,etc,1995-11-26,3,8321
4145,View,direct,2009-04-07,8,284
890,View,etc,1987-01-17,3,9575
7208,ItemSearch,instagram,1999-06-10,1,4318
2738,AddtoCart,facebook,1974-01-21,6,3840
2521,AddtoCart,naver,1983-04-13,2,5532
2096,AddtoCart,facebook,1974-07-07,2,9998
2008,View,google,1989-03-25,5,2658
4504,View,etc,1996-10-07,9,5653
8858,View,etc,2019-03-08,7,5875
2283,ItemSearch,etc,1994-12-15,3,8597
9807,View,naver,2019-04-03,3,2990
1346,View,direct,1977-05-01,9,6199
9433,View,facebook,1994-09-01,4,9722
9881,ItemSearch,etc,2013-10-10,9,4918
1166,Buy,google,2020-04-24,9,8468
9072,AddtoCart,naver,2016-08-30,1,9642
9563,View,direct,1981-02-23,9,3079
9756,View,naver,1997-05-28,9,5423
2150,View,google,2018-12-28,1,3928
5421,View,google,1977-01-24,7,9818
9417,ItemSearch,google,2009-04-01,5,6481
2329,View,etc,1988-09-10,3,1275
7715,View,naver,1977-12-27,2,3035
9711,ItemSearch,instagram,1970-02-25,8,1991
1518,View,instagram,1982-09-25,5,2086
8008,View,etc,1979-01-20,3,9981
2110,View,facebook,1996-11-05,8,8236
1224,Buy,naver,1975-07-11,1,3601
6249,AddtoCart,etc,2008-08-14,7,6553
8933,View,google,2015-02-21,5,1975
6901,View,naver,2023-06-16,7,1153
7314,View,direct,1990-12-12,3,7985
8663,AddtoCart,direct,2000-08-03,3,5776
1415,ItemSearch,etc,1974-05-24,9,2204
9757,Buy,facebook,1977-05-19,3,5647
1012,ItemSearch,direct,1984-10-25,2,8975
6516,ItemSearch,naver,1985-06-22,6,5521
1892,View,google,2015-12-16,1,263
4903,View,facebook,1973-12-04,1,5990
7624,Buy,etc,1984-07-07,7,1150
1769,View,naver,1996-03-22,4,7198
298,ItemSearch,direct,2013-09-11,2,4555
2870,ItemSearch,direct,1992-09-06,7,2032
7217,View,google,2019-04-06,6,6508
6211,View,direct,1978-08-18,8,6112
4190,View,direct,2021-11-18,5,6541
1739,Buy,etc,2003-08-20,6,8894
2185,AddtoCart,google,1976-04-16,6,2430
1684,ItemSearch,direct,2008-07-29,7,6920
4323,AddtoCart,naver,1997-02-06,8,5181
8485,View,naver,2002-01-24,8,2792
6964,ItemSearch,naver,2001-11-30,3,4092
9894,AddtoCart,facebook,1987-07-19,3,4295
